,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,1,0,0,0,0,0,0
1,01/23/20,1,0,0,0,0,0,0
2,01/24/20,2,0,0,1,0,0,0
3,01/25/20,2,0,0,0,0,0,0
4,01/26/20,5,0,0,3,0,0,0
5,01/27/20,5,0,0,0,0,0,0
6,01/28/20,5,0,0,0,0,0,0
7,01/29/20,6,0,0,1,0,0,0
8,01/30/20,6,0,0,0,0,0,0
9,01/31/20,8,0,0,2,0,0,0
10,02/01/20,8,0,0,0,0,0,0
11,02/02/20,8,0,0,0,0,0,0
12,02/03/20,11,0,0,3,0,0,0
13,02/04/20,11,0,0,0,0,0,0
14,02/05/20,11,0,0,0,0,0,0
15,02/06/20,12,0,0,1,0,0,0
16,02/07/20,12,0,0,0,0,0,0
17,02/08/20,12,0,0,0,0,0,0
18,02/09/20,12,0,3,0,0,3,3
19,02/10/20,12,0,3,0,0,0,0
20,02/11/20,13,0,3,1,0,0,0
21,02/12/20,13,0,3,0,0,0,0
22,02/13/20,14,0,3,1,0,0,0
23,02/14/20,14,0,3,0,0,0,0
24,02/15/20,14,0,3,0,0,0,0
25,02/16/20,14,0,3,0,0,0,0
26,02/17/20,14,0,3,0,0,0,0
27,02/18/20,14,0,3,0,0,0,0
28,02/19/20,14,0,3,0,0,0,0
29,02/20/20,14,0,3,0,0,0,0
30,02/21/20,16,0,5,2,0,2,2
31,02/22/20,16,0,5,0,0,0,0
32,02/23/20,16,0,5,0,0,0,0
33,02/24/20,16,0,5,0,0,0,0
34,02/25/20,16,0,6,0,0,1,1
35,02/26/20,16,0,6,0,0,0,0
36,02/27/20,17,0,6,1,0,0,0
37,02/28/20,17,0,7,0,0,1,1
38,02/29/20,25,1,7,8,1,0,1
39,03/01/20,32,1,7,7,0,0,0
40,03/02/20,55,6,7,23,5,0,5
41,03/03/20,74,7,7,19,1,0,1
42,03/04/20,107,11,7,33,4,0,4
43,03/05/20,184,12,7,77,1,0,1
44,03/06/20,237,14,7,53,2,0,2
45,03/07/20,403,17,7,166,3,0,3
46,03/08/20,519,21,7,116,4,0,4
47,03/09/20,594,22,7,75,1,0,1
48,03/10/20,782,28,8,188,6,1,7
49,03/11/20,1147,33,8,365,5,0,5
50,03/12/20,1586,43,12,439,10,4,14
51,03/13/20,2219,51,12,633,8,0,8
52,03/14/20,2978,58,12,759,7,0,7
53,03/15/20,3212,70,12,234,12,0,12
54,03/16/20,4679,97,17,1467,27,5,32
55,03/17/20,6512,132,17,1833,35,0,35
56,03/18/20,9169,191,105,2657,59,88,147
57,03/19/20,13663,264,121,4494,73,16,89
58,03/20/20,20030,365,147,6367,101,26,127
59,03/21/20,26025,464,176,5995,99,29,128
60,03/22/20,34832,574,178,8807,110,2,112
61,03/23/20,46052,762,178,11220,188,0,188
62,03/24/20,56629,1003,348,10577,241,170,411
63,03/25/20,68663,1329,361,12034,326,13,339
64,03/26/20,86556,1741,681,17893,412,320,732
65,03/27/20,105196,2259,869,18640,518,188,706
66,03/28/20,124793,2891,1072,19597,632,203,835
67,03/29/20,143724,3483,2665,18931,592,1593,2185
68,03/30/20,165733,4179,5644,22009,696,2979,3675
69,03/31/20,192101,5270,7024,26368,1091,1380,2471
70,04/01/20,217920,6449,8474,25819,1179,1450,2629
71,04/02/20,248309,7953,9001,30389,1504,527,2031
72,04/03/20,280306,9348,9707,31997,1395,706,2101
73,04/04/20,313304,10891,14652,32998,1543,4945,6488
74,04/05/20,341489,12458,17448,28185,1567,2796,4363
75,04/06/20,371675,14234,19581,30186,1776,2133,3909
76,04/07/20,403073,16798,21763,31398,2564,2182,4746
77,04/08/20,435089,18953,23559,32016,2155,1796,3951
78,04/09/20,469738,21184,25410,34649,2231,1851,4082
79,04/10/20,503274,23395,28790,33536,2211,3380,5591
80,04/11/20,532632,25528,31270,29358,2133,2480,4613
81,04/12/20,559591,27333,32988,26959,1805,1718,3523
82,04/13/20,585382,29281,43482,25791,1948,10494,12442
83,04/14/20,613973,31726,47763,28591,2445,4281,6726
84,04/15/20,643981,34332,52096,30008,2606,4333,6939
85,04/16/20,675504,36505,54703,31523,2173,2607,4780
86,04/17/20,708310,38597,58545,32806,2092,3842,5934
87,04/18/20,736161,40567,64840,27851,1970,6295,8265
88,04/19/20,761842,42499,70337,25681,1932,5497,7429
89,04/20/20,790264,44679,72329,28422,2180,1992,4172
90,04/21/20,816302,47220,75204,26038,2541,2875,5416
91,04/22/20,845599,49658,77366,29297,2438,2162,4600
92,04/23/20,878844,52125,80203,33245,2467,2837,5304
93,04/24/20,912596,54283,99079,33752,2158,18876,21034
94,04/25/20,943963,55986,100372,31367,1703,1293,2996
95,04/26/20,971012,57320,106988,27049,1334,6616,7950
96,04/27/20,994171,58787,111424,23159,1467,4436,5903
97,04/28/20,1018837,61027,115936,24666,2240,4512,6752
98,04/29/20,1046655,63554,120720,27818,2527,4784,7311
99,04/30/20,1076104,65971,153947,29449,2417,33227,35644
100,05/01/20,1110297,67848,164015,34193,1877,10068,11945
101,05/02/20,1138126,69535,175382,27829,1687,11367,13054
102,05/03/20,1162592,70637,180152,24466,1102,4770,5872
103,05/04/20,1185972,71955,187180,23380,1318,7028,8346
104,05/05/20,1210458,74255,189791,24486,2300,2611,4911
105,05/06/20,1235561,76599,189910,25103,2344,119,2463
106,05/07/20,1263296,78523,195036,27735,1924,5126,7050
107,05/08/20,1290069,80275,198993,26773,1752,3957,5709
108,05/09/20,1315026,81817,212534,24957,1542,13541,15083
109,05/10/20,1333863,82717,216169,18837,900,3635,4535
110,05/11/20,1353268,83719,232733,19405,1002,16564,17566
111,05/12/20,1375989,85333,230287,22721,1614,-2446,-832
112,05/13/20,1396928,87082,243430,20939,1749,13143,14892
113,05/14/20,1424152,88856,246414,27224,1774,2984,4758
114,05/15/20,1449346,90520,250747,25194,1664,4333,5997
115,05/16/20,1473343,91791,268376,23997,1271,17629,18900
116,05/17/20,1491438,92547,272265,18095,756,3889,4645
117,05/18/20,1513437,93713,283178,21999,1166,10913,12079
118,05/19/20,1534386,95239,289392,20949,1526,6214,7740
119,05/20/20,1557833,96757,294312,23447,1518,4920,6438
120,05/21/20,1583458,97968,298418,25625,1211,4106,5317
121,05/22/20,1606787,99213,350135,23329,1245,51717,52962
122,05/23/20,1627923,100346,361239,21136,1133,11104,12237
123,05/24/20,1647948,100962,366736,20025,616,5497,6113
124,05/25/20,1666219,101520,379157,18271,558,12421,12979
125,05/26/20,1685682,102184,384902,19463,664,5745,6409
126,05/27/20,1704217,103691,391508,18535,1507,6606,8113
127,05/28/20,1727097,104874,399991,22880,1183,8483,9666
128,05/29/20,1751301,106029,406446,24204,1155,6455,7610
129,05/30/20,1775081,106983,416461,23780,954,10015,10969
130,05/31/20,1794196,107672,444758,19115,689,28297,28986
131,06/01/20,1811469,108449,458231,17273,777,13473,14250
132,06/02/20,1832782,109498,463868,21313,1049,5637,6686
133,06/03/20,1852680,110492,479258,19898,994,15390,16384
134,06/04/20,1873943,111497,485002,21263,1005,5744,6749
135,06/05/20,1899008,112402,491706,25065,905,6704,7609
136,06/06/20,1920581,113099,500849,21573,697,9143,9840
137,06/07/20,1938302,113540,506367,17721,441,5518,5959
138,06/08/20,1955778,114037,518522,17476,497,12155,12652
139,06/09/20,1974024,114968,524855,18246,931,6333,7264
