i,dates,ustotal
1,2020-03-01,329342883
2,2020-03-02,329346645
3,2020-03-03,329350407
4,2020-03-04,329354168
5,2020-03-05,329357930
6,2020-03-06,329361692
7,2020-03-07,329365454
8,2020-03-08,329369216
9,2020-03-09,329372977
10,2020-03-10,329376739
11,2020-03-11,329380501
12,2020-03-12,329384263
13,2020-03-13,329388025
14,2020-03-14,329391786
15,2020-03-15,329395548
16,2020-03-16,329399310
17,2020-03-17,329403072
18,2020-03-18,329406834
19,2020-03-19,329410596
20,2020-03-20,329414357
21,2020-03-21,329418119
22,2020-03-22,329421881
23,2020-03-23,329425643
24,2020-03-24,329429405
25,2020-03-25,329433166
26,2020-03-26,329436928
27,2020-03-27,329440690
28,2020-03-28,329444452
29,2020-03-29,329448214
30,2020-03-30,329451975
31,2020-03-31,329455737
32,2020-04-01,329459499
33,2020-04-02,329463797
34,2020-04-03,329468094
35,2020-04-04,329472392
36,2020-04-05,329476690
37,2020-04-06,329480988
38,2020-04-07,329485285
39,2020-04-08,329489583
40,2020-04-09,329493881
41,2020-04-10,329498178
42,2020-04-11,329502476
43,2020-04-12,329506774
44,2020-04-13,329511071
45,2020-04-14,329515369
46,2020-04-15,329519667
47,2020-04-16,329523965
48,2020-04-17,329528262
49,2020-04-18,329532560
50,2020-04-19,329536858
51,2020-04-20,329541155
52,2020-04-21,329545453
53,2020-04-22,329549751
54,2020-04-23,329554048
55,2020-04-24,329558346
56,2020-04-25,329562644
57,2020-04-26,329566942
58,2020-04-27,329571239
59,2020-04-28,329575537
60,2020-04-29,329579835
61,2020-04-30,329584132
62,2020-05-01,329588430
63,2020-05-02,329592877
64,2020-05-03,329597325
65,2020-05-04,329601772
66,2020-05-05,329606219
67,2020-05-06,329610666
68,2020-05-07,329615114
69,2020-05-08,329619561
70,2020-05-09,329624008
71,2020-05-10,329628455
72,2020-05-11,329632903
73,2020-05-12,329637350
74,2020-05-13,329641797
75,2020-05-14,329646244
76,2020-05-15,329650692
77,2020-05-16,329655139
78,2020-05-17,329659586
79,2020-05-18,329664033
80,2020-05-19,329668481
81,2020-05-20,329672928
82,2020-05-21,329677375
83,2020-05-22,329681822
84,2020-05-23,329686270
85,2020-05-24,329690717
86,2020-05-25,329695164
87,2020-05-26,329699611
88,2020-05-27,329704059
89,2020-05-28,329708506
90,2020-05-29,329712953
91,2020-05-30,329717400
92,2020-05-31,329721848
93,2020-06-01,329726295
94,2020-06-02,329731335
95,2020-06-03,329736376
96,2020-06-04,329741416
97,2020-06-05,329746456
98,2020-06-06,329751497
99,2020-06-07,329756537
100,2020-06-08,329761577
101,2020-06-09,329766618
102,2020-06-10,329771658
103,2020-06-11,329776698
104,2020-06-12,329781739
105,2020-06-13,329786779
106,2020-06-14,329791819
107,2020-06-15,329796860
108,2020-06-16,329801900
109,2020-06-17,329806940
110,2020-06-18,329811981
111,2020-06-19,329817021
112,2020-06-20,329822061
113,2020-06-21,329827102
114,2020-06-22,329832142
115,2020-06-23,329837182
116,2020-06-24,329842223
117,2020-06-25,329847263
118,2020-06-26,329852303
119,2020-06-27,329857344
120,2020-06-28,329862384
121,2020-06-29,329867424
122,2020-06-30,329872465
123,2020-07-01,329877505
124,2020-07-02,329882990
125,2020-07-03,329888474
126,2020-07-04,329893959
127,2020-07-05,329899443
128,2020-07-06,329904928
129,2020-07-07,329910412
130,2020-07-08,329915897
131,2020-07-09,329921381
132,2020-07-10,329926866
133,2020-07-11,329932350
134,2020-07-12,329937835
135,2020-07-13,329943320
136,2020-07-14,329948804
137,2020-07-15,329954289
138,2020-07-16,329959773
139,2020-07-17,329965258
140,2020-07-18,329970742
141,2020-07-19,329976227
142,2020-07-20,329981711
143,2020-07-21,329987196
144,2020-07-22,329992681
145,2020-07-23,329998165
146,2020-07-24,330003650
147,2020-07-25,330009134
148,2020-07-26,330014619
149,2020-07-27,330020103
150,2020-07-28,330025588
151,2020-07-29,330031072
152,2020-07-30,330036557
153,2020-07-31,330042041
154,2020-08-01,330047526
155,2020-08-02,330052960
156,2020-08-03,330058394
157,2020-08-04,330063829
158,2020-08-05,330069263
159,2020-08-06,330074697
160,2020-08-07,330080131
161,2020-08-08,330085565
162,2020-08-09,330091000
163,2020-08-10,330096434
164,2020-08-11,330101868
165,2020-08-12,330107302
166,2020-08-13,330112736
167,2020-08-14,330118171
168,2020-08-15,330123605
169,2020-08-16,330129039
170,2020-08-17,330134473
171,2020-08-18,330139907
172,2020-08-19,330145341
173,2020-08-20,330150776
174,2020-08-21,330156210
175,2020-08-22,330161644
176,2020-08-23,330167078
177,2020-08-24,330172512
178,2020-08-25,330177947
179,2020-08-26,330183381
180,2020-08-27,330188815
181,2020-08-28,330194249
182,2020-08-29,330199683
183,2020-08-30,330205118
184,2020-08-31,330210552
185,2020-09-01,330215986
186,2020-09-02,330221521
187,2020-09-03,330227055
188,2020-09-04,330232590
189,2020-09-05,330238125
190,2020-09-06,330243659
191,2020-09-07,330249194
192,2020-09-08,330254729
193,2020-09-09,330260263
194,2020-09-10,330265798
195,2020-09-11,330271333
196,2020-09-12,330276867
197,2020-09-13,330282402
198,2020-09-14,330287937
199,2020-09-15,330293471
200,2020-09-16,330299006
201,2020-09-17,330304541
202,2020-09-18,330310075
203,2020-09-19,330315610
204,2020-09-20,330321145
205,2020-09-21,330326679
206,2020-09-22,330332214
207,2020-09-23,330337749
208,2020-09-24,330343283
209,2020-09-25,330348818
210,2020-09-26,330354353
211,2020-09-27,330359887
212,2020-09-28,330365422
213,2020-09-29,330370957
214,2020-09-30,330376491
215,2020-10-01,330382026
216,2020-10-02,330386767
217,2020-10-03,330391508
218,2020-10-04,330396248
219,2020-10-05,330400989
220,2020-10-06,330405730
221,2020-10-07,330410471
222,2020-10-08,330415211
223,2020-10-09,330419952
224,2020-10-10,330424693
